clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_24_87_signer_GOOD_1,NON_DETECTION,NON_DETECTION(0.83),GOOD,False
video_24_114_signer_GOOD_1,GOOD ONE,GOOD(0.88) ONE(0.47),GOOD,False
video_26_77_signer_GOOD_1,NON_DETECTION,NON_DETECTION(0.98),GOOD,False
video_29_30_signer_GOOD_1,GOOD GO,GOOD(0.82) GO(0.61),GOOD,False
video_20_48_signer_ONE_1,YES,YES(0.99),ONE,False
video_29_57_signer_ONE_1,YES,YES(0.99),ONE,False
video_29_193_signer_ONE_1,NON_DETECTION,NON_DETECTION(1.00),ONE,False
video_36_198_signer_ONE_1,YES NON_DETECTION,YES(0.97) NON_DETECTION(0.69),ONE,False
video_42_25_signer_ONE_1,ONE,ONE(1.00),ONE,True
video_42_135_signer_ONE_1,ONE THINK,ONE(0.97) THINK(0.28),ONE,False
video_83_28_signer_ONE_1,GOOD,GOOD(0.99),ONE,False
video_83_88_signer_ONE_1,ONE,ONE(1.00),ONE,True
video_83_96_signer_ONE_1,WHAT KNOW,WHAT(0.95) KNOW(0.88),ONE,False
video_87_85_signer_ONE_1,NON_DETECTION,NON_DETECTION(0.94),ONE,False
video_11_60_nondet_1,GO,GO(1.00),NON_DETECTION,False
video_11_67_nondet_1,NON_DETECTION,NON_DETECTION(1.00),NON_DETECTION,True
video_11_72_nondet_1,NON_DETECTION,NON_DETECTION(0.97),NON_DETECTION,True
video_12_29_nondet_1,YES ONE,YES(0.99) ONE(0.38),NON_DETECTION,False
video_13_130_nondet_1,NON_DETECTION,NON_DETECTION(0.99),NON_DETECTION,True
video_14_51_nondet_1,NON_DETECTION,NON_DETECTION(1.00),NON_DETECTION,True
video_17_46_nondet_1,TIME NON_DETECTION,TIME(0.83) NON_DETECTION(0.75),NON_DETECTION,False
video_19_147_nondet_1,YES,YES(1.00),NON_DETECTION,False
video_19_175_nondet_1,TIME,TIME(1.00),NON_DETECTION,False
video_1_73_nondet_1,YES,YES(0.99),NON_DETECTION,False
video_1_85_nondet_1,YES,YES(0.98),NON_DETECTION,False
video_1_9_nondet_1,NON_DETECTION,NON_DETECTION(0.96),NON_DETECTION,True
video_20_111_nondet_1,TIME NON_DETECTION,TIME(0.95) NON_DETECTION(0.92),NON_DETECTION,False
video_20_37_nondet_1,NON_DETECTION READY,NON_DETECTION(0.83) READY(0.73),NON_DETECTION,False
video_22_33_nondet_1,TIME,TIME(0.52),NON_DETECTION,False
video_22_47_nondet_1,NON_DETECTION,NON_DETECTION(0.93),NON_DETECTION,True
video_10_43_nondet_2,THINK WHAT,THINK(0.83) WHAT(0.51),NON_DETECTION,False
video_11_112_nondet_2,WHAT ONE,WHAT(0.98) ONE(0.26),NON_DETECTION,False
video_11_71_nondet_2,TIME,TIME(1.00),NON_DETECTION,False
video_11_88_nondet_1,READY NON_DETECTION,READY(0.97) NON_DETECTION(0.71),NON_DETECTION,False
video_12_68_nondet_2,TIME NON_DETECTION,TIME(1.00) NON_DETECTION(0.80),NON_DETECTION,False
resting_20260515_150301_2913_nondet_1,NON_DETECTION,NON_DETECTION(1.00),NON_DETECTION,True
resting_20260515_150920_2078_nondet_1,NON_DETECTION,NON_DETECTION(1.00),NON_DETECTION,True
resting_20260515_150929_2148_nondet_1,NON_DETECTION,NON_DETECTION(1.00),NON_DETECTION,True
resting_20260515_150939_7338_nondet_1,NON_DETECTION,NON_DETECTION(1.00),NON_DETECTION,True
resting_20260515_150949_1160_nondet_1,NON_DETECTION,NON_DETECTION(0.99),NON_DETECTION,True
resting_20260515_151002_5009_nondet_1,NON_DETECTION,NON_DETECTION(1.00),NON_DETECTION,True
resting_20260515_151014_6633_nondet_1,NON_DETECTION,NON_DETECTION(1.00),NON_DETECTION,True
resting_20260515_151019_0333_nondet_1,NON_DETECTION,NON_DETECTION(1.00),NON_DETECTION,True
resting_20260515_151022_9957_nondet_1,NON_DETECTION,NON_DETECTION(0.99),NON_DETECTION,True
resting_20260515_151033_3307_nondet_1,NON_DETECTION,NON_DETECTION(1.00),NON_DETECTION,True
resting_20260515_151056_0951_nondet_1,NON_DETECTION,NON_DETECTION(1.00),NON_DETECTION,True
resting_20260515_151101_4641_nondet_1,NON_DETECTION,NON_DETECTION(1.00),NON_DETECTION,True
video_1_6_signer_HELLO_1,KNOW HELLO,KNOW(0.94) HELLO(0.36),HELLO,False
video_1_9_signer_HELLO_1,THINK ONE,THINK(0.97) ONE(0.96),HELLO,False
video_5_0_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_6_38_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_7_0_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_7_34_signer_HELLO_1,YES,YES(0.99),HELLO,False
video_10_29_signer_READY_1,NON_DETECTION,NON_DETECTION(0.99),READY,False
video_2_127_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_11_67_signer_TIME_1,THINK TIME,THINK(0.90) TIME(0.57),TIME,False
video_13_154_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_14_131_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_18_167_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_35_160_signer_TIME_1,READY,READY(0.55),TIME,False
video_38_138_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_7_28_signer_KNOW_1,ONE THINK WHAT,ONE(0.52) THINK(0.39) WHAT(0.28),KNOW,False
video_12_53_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_15_84_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_19_24_signer_KNOW_1,GO ONE NON_DETECTION,GO(0.69) ONE(0.69) NON_DETECTION(0.67),KNOW,False
video_19_65_signer_KNOW_1,THINK,THINK(1.00),KNOW,False
video_22_111_signer_KNOW_1,WHAT,WHAT(0.26),KNOW,False
video_23_30_signer_KNOW_1,KNOW THINK ONE,KNOW(0.70) THINK(0.45) ONE(0.34),KNOW,False
video_24_73_signer_KNOW_1,KNOW THINK,KNOW(0.94) THINK(0.93),KNOW,False
video_24_150_signer_KNOW_1,THINK,THINK(1.00),KNOW,False
video_28_76_signer_KNOW_1,THINK,THINK(1.00),KNOW,False
video_1_54_signer_YES_1,NON_DETECTION,NON_DETECTION(0.98),YES,False
video_2_100_signer_YES_1,GOOD READY,GOOD(1.00) READY(0.50),YES,False
video_2_118_signer_YES_1,YES,YES(0.99),YES,True
video_3_70_signer_YES_1,YES WHAT,YES(1.00) WHAT(0.26),YES,False
video_3_82_signer_YES_1,GOOD GO,GOOD(0.80) GO(0.53),YES,False
video_5_35_signer_YES_1,GOOD READY,GOOD(0.98) READY(0.50),YES,False
video_6_92_signer_YES_1,YES,YES(0.98),YES,True
video_7_55_signer_YES_1,NON_DETECTION,NON_DETECTION(0.95),YES,False
video_10_30_signer_YES_1,YES,YES(1.00),YES,True
video_10_49_signer_YES_1,ONE,ONE(0.99),YES,False
video_10_61_signer_YES_1,YES,YES(1.00),YES,True
video_10_92_signer_YES_1,YES,YES(1.00),YES,True
video_13_109_signer_YES_1,NON_DETECTION ONE,NON_DETECTION(0.92) ONE(0.78),YES,False
video_4_15_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_6_25_signer_THINK_1,THINK,THINK(0.99),THINK,True
video_6_48_signer_THINK_1,GO ONE,GO(0.98) ONE(0.28),THINK,False
video_12_68_signer_THINK_1,THINK,THINK(0.90),THINK,True
video_18_47_signer_THINK_1,THINK KNOW,THINK(0.94) KNOW(0.72),THINK,False
video_18_154_signer_THINK_1,YES,YES(1.00),THINK,False
video_18_155_signer_THINK_1,GOOD,GOOD(0.99),THINK,False
video_19_171_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_19_175_signer_THINK_1,ONE,ONE(0.99),THINK,False
video_20_109_signer_THINK_1,THINK KNOW,THINK(0.98) KNOW(0.80),THINK,False
video_24_81_signer_THINK_1,THINK KNOW,THINK(0.99) KNOW(0.42),THINK,False
video_24_140_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_32_43_signer_THINK_1,KNOW THINK,KNOW(0.95) THINK(0.89),THINK,False
video_2_18_signer_WHAT_1,YES NON_DETECTION,YES(0.96) NON_DETECTION(0.84),WHAT,False
video_5_55_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_6_42_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_10_20_signer_WHAT_1,TIME,TIME(1.00),WHAT,False
video_10_51_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_18_27_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_5_104_signer_GOOD_1,GOOD,GOOD(0.88),GOOD,True
video_7_45_signer_GOOD_1,NON_DETECTION,NON_DETECTION(0.76),GOOD,False
video_17_8_signer_GOOD_1,ONE THINK,ONE(0.98) THINK(0.54),GOOD,False
video_41_206_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_42_139_signer_TIME_1,TIME NON_DETECTION,TIME(0.98) NON_DETECTION(0.78),TIME,False
video_44_48_signer_TIME_1,WHAT YES,WHAT(0.94) YES(0.89),TIME,False
video_2_45_signer_GO_1,NON_DETECTION,NON_DETECTION(1.00),GO,False
video_2_106_signer_GO_1,NON_DETECTION GO,NON_DETECTION(0.88) GO(0.74),GO,False
video_8_55_signer_GO_1,NON_DETECTION,NON_DETECTION(1.00),GO,False
video_12_8_signer_GO_1,ONE GO GOOD,ONE(0.46) GO(0.46) GOOD(0.30),GO,False
video_12_29_signer_GO_1,NON_DETECTION ONE,NON_DETECTION(0.94) ONE(0.75),GO,False
video_16_9_signer_GO_1,GO,GO(0.60),GO,True
video_17_13_signer_GO_1,WHAT READY,WHAT(0.99) READY(0.35),GO,False
video_15_105_signer_READY_1,TIME,TIME(0.27),READY,False
video_16_146_signer_READY_1,READY NON_DETECTION,READY(0.98) NON_DETECTION(0.58),READY,False
video_16_170_signer_READY_1,READY,READY(1.00),READY,True
video_30_141_signer_READY_1,YES GOOD,YES(0.87) GOOD(0.35),READY,False
video_35_51_signer_READY_1,NON_DETECTION,NON_DETECTION(0.97),READY,False
video_43_111_signer_READY_1,NON_DETECTION,NON_DETECTION(0.99),READY,False
video_50_115_signer_READY_1,READY,READY(0.95),READY,True
video_60_128_signer_READY_1,READY,READY(1.00),READY,True
video_63_52_signer_READY_1,READY,READY(1.00),READY,True
video_13_51_signer_ONE_1,YES,YES(1.00),ONE,False
video_73_51_signer_READY_1,NON_DETECTION,NON_DETECTION(0.99),READY,False
video_73_76_signer_READY_1,READY,READY(1.00),READY,True
video_82_176_signer_READY_1,GO ONE,GO(0.99) ONE(0.63),READY,False
video_86_86_signer_READY_1,READY,READY(1.00),READY,True
video_87_36_signer_READY_1,NON_DETECTION TIME,NON_DETECTION(0.82) TIME(0.64),READY,False
video_19_42_signer_GOOD_1,NON_DETECTION YES,NON_DETECTION(0.95) YES(0.52),GOOD,False
video_19_101_signer_GOOD_1,READY,READY(0.97),GOOD,False
video_19_114_signer_GOOD_1,READY,READY(1.00),GOOD,False
video_24_87_signer_GOOD_1,NON_DETECTION,NON_DETECTION(0.83),GOOD,False
video_24_114_signer_GOOD_1,GOOD ONE,GOOD(0.88) ONE(0.47),GOOD,False
video_26_77_signer_GOOD_1,NON_DETECTION,NON_DETECTION(0.98),GOOD,False
video_29_30_signer_GOOD_1,GOOD GO,GOOD(0.82) GO(0.61),GOOD,False
video_20_48_signer_ONE_1,YES,YES(0.99),ONE,False
video_29_57_signer_ONE_1,YES,YES(0.99),ONE,False
video_29_193_signer_ONE_1,NON_DETECTION,NON_DETECTION(1.00),ONE,False
video_36_198_signer_ONE_1,YES NON_DETECTION,YES(0.97) NON_DETECTION(0.69),ONE,False
video_42_25_signer_ONE_1,ONE,ONE(1.00),ONE,True
video_42_135_signer_ONE_1,ONE THINK,ONE(0.97) THINK(0.28),ONE,False
video_83_28_signer_ONE_1,GOOD,GOOD(0.99),ONE,False
video_83_88_signer_ONE_1,ONE,ONE(1.00),ONE,True
video_83_96_signer_ONE_1,WHAT KNOW,WHAT(0.95) KNOW(0.88),ONE,False
video_87_85_signer_ONE_1,NON_DETECTION,NON_DETECTION(0.94),ONE,False
