clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_38_138_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_7_28_signer_KNOW_1,KNOW,KNOW(0.97),KNOW,True
video_12_53_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_15_84_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_19_24_signer_KNOW_1,ONE KNOW,ONE(0.66) KNOW(0.50),KNOW,False
video_19_65_signer_KNOW_1,KNOW,KNOW(0.99),KNOW,True
video_22_111_signer_KNOW_1,ONE,ONE(0.99),KNOW,False
video_23_30_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_24_73_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_24_150_signer_KNOW_1,HELLO,HELLO(1.00),KNOW,False
video_28_76_signer_KNOW_1,THINK KNOW,THINK(0.99) KNOW(0.46),KNOW,False
video_1_54_signer_YES_1,READY,READY(0.98),YES,False
video_2_100_signer_YES_1,GOOD,GOOD(1.00),YES,False
video_2_118_signer_YES_1,YES,YES(0.95),YES,True
video_3_70_signer_YES_1,YES,YES(1.00),YES,True
video_3_82_signer_YES_1,ONE,ONE(0.93),YES,False
video_5_35_signer_YES_1,GOOD,GOOD(1.00),YES,False
video_6_92_signer_YES_1,YES NON_DETECTION,YES(0.93) NON_DETECTION(0.38),YES,False
video_7_55_signer_YES_1,NON_DETECTION,NON_DETECTION(0.75),YES,False
video_10_30_signer_YES_1,YES,YES(1.00),YES,True
video_10_49_signer_YES_1,ONE,ONE(1.00),YES,False
video_10_61_signer_YES_1,YES,YES(1.00),YES,True
video_10_92_signer_YES_1,YES,YES(1.00),YES,True
video_13_109_signer_YES_1,NON_DETECTION,NON_DETECTION(1.00),YES,False
video_4_15_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_6_25_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_6_48_signer_THINK_1,KNOW,KNOW(0.59),THINK,False
video_12_68_signer_THINK_1,TIME THINK,TIME(0.97) THINK(0.50),THINK,False
video_18_47_signer_THINK_1,KNOW,KNOW(1.00),THINK,False
video_18_154_signer_THINK_1,THINK YES,THINK(0.99) YES(0.46),THINK,False
video_18_155_signer_THINK_1,GOOD,GOOD(0.97),THINK,False
video_19_171_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_19_175_signer_THINK_1,KNOW,KNOW(0.72),THINK,False
video_20_109_signer_THINK_1,THINK KNOW,THINK(1.00) KNOW(0.80),THINK,False
video_24_81_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_24_140_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_32_43_signer_THINK_1,KNOW THINK,KNOW(0.95) THINK(0.93),THINK,False
video_2_18_signer_WHAT_1,YES,YES(0.98),WHAT,False
video_5_55_signer_WHAT_1,YES,YES(0.99),WHAT,False
video_6_42_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_10_20_signer_WHAT_1,TIME,TIME(1.00),WHAT,False
video_10_51_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_18_27_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_5_104_signer_GOOD_1,GOOD,GOOD(1.00),GOOD,True
video_7_45_signer_GOOD_1,,,GOOD,False
video_17_8_signer_GOOD_1,ONE THINK,ONE(0.95) THINK(0.43),GOOD,False
video_41_206_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_42_139_signer_TIME_1,NON_DETECTION,NON_DETECTION(1.00),TIME,False
video_44_48_signer_TIME_1,NON_DETECTION,NON_DETECTION(0.64),TIME,False
video_2_45_signer_GO_1,,,GO,False
video_2_106_signer_GO_1,GO HELLO,GO(0.77) HELLO(0.47),GO,False
video_8_55_signer_GO_1,NON_DETECTION,NON_DETECTION(1.00),GO,False
video_12_8_signer_GO_1,ONE,ONE(1.00),GO,False
video_12_29_signer_GO_1,NON_DETECTION ONE,NON_DETECTION(0.87) ONE(0.43),GO,False
video_16_9_signer_GO_1,GO NON_DETECTION,GO(1.00) NON_DETECTION(0.45),GO,False
video_17_13_signer_GO_1,WHAT,WHAT(0.87),GO,False
video_15_105_signer_READY_1,READY,READY(0.99),READY,True
video_16_146_signer_READY_1,READY,READY(1.00),READY,True
video_16_170_signer_READY_1,READY,READY(1.00),READY,True
video_30_141_signer_READY_1,YES,YES(1.00),READY,False
video_35_51_signer_READY_1,TIME,TIME(1.00),READY,False
video_43_111_signer_READY_1,NON_DETECTION,NON_DETECTION(1.00),READY,False
video_50_115_signer_READY_1,ONE,ONE(1.00),READY,False
video_60_128_signer_READY_1,READY,READY(1.00),READY,True
video_63_52_signer_READY_1,READY,READY(1.00),READY,True
video_13_51_signer_ONE_1,YES,YES(1.00),ONE,False
video_73_51_signer_READY_1,GO,GO(0.77),READY,False
video_73_76_signer_READY_1,READY,READY(1.00),READY,True
video_82_176_signer_READY_1,GO,GO(1.00),READY,False
video_86_86_signer_READY_1,READY,READY(1.00),READY,True
video_87_36_signer_READY_1,GO NON_DETECTION,GO(0.94) NON_DETECTION(0.75),READY,False
video_19_42_signer_GOOD_1,NON_DETECTION YES,NON_DETECTION(0.94) YES(0.73),GOOD,False
video_19_101_signer_GOOD_1,READY,READY(1.00),GOOD,False
video_19_114_signer_GOOD_1,READY,READY(1.00),GOOD,False
video_24_87_signer_GOOD_1,NON_DETECTION,NON_DETECTION(1.00),GOOD,False
video_24_114_signer_GOOD_1,ONE,ONE(1.00),GOOD,False
video_26_77_signer_GOOD_1,NON_DETECTION,NON_DETECTION(0.94),GOOD,False
video_29_30_signer_GOOD_1,ONE,ONE(0.99),GOOD,False
video_20_48_signer_ONE_1,YES,YES(0.97),ONE,False
video_29_57_signer_ONE_1,YES NON_DETECTION,YES(0.81) NON_DETECTION(0.75),ONE,False
video_29_193_signer_ONE_1,NON_DETECTION,NON_DETECTION(1.00),ONE,False
video_36_198_signer_ONE_1,NON_DETECTION,NON_DETECTION(1.00),ONE,False
video_42_25_signer_ONE_1,ONE,ONE(0.97),ONE,True
video_42_135_signer_ONE_1,THINK,THINK(0.94),ONE,False
video_83_28_signer_ONE_1,YES,YES(1.00),ONE,False
video_83_88_signer_ONE_1,ONE,ONE(1.00),ONE,True
video_83_96_signer_ONE_1,KNOW THINK,KNOW(0.91) THINK(0.36),ONE,False
video_87_85_signer_ONE_1,NON_DETECTION,NON_DETECTION(0.94),ONE,False
